;;;;;;;;;;;;;;;;;;;;;;;;;;
;;CATALOGO DE LIBROS DE LA FISI;;;;;;;;;;;;;;;;;;;;;;;;
;Nº;TITULO;AUTOR;CLASIFICACION;AÑO;;;;;;;;;;;;;;;;;;;;;
;769;"Topicos de Calculo de Probabilidades 
Parte: IV ";Moises Lazaro C;QA303.L32  V. ej. 3;2009;;;;;;;;;;;;;;;;;;;;;
;770;"Topicos de Calculo de Probabilidades 
Parte II ";Moises Lazaro C;QA303.L32  V.2;2009;;;;;;;;;;;;;;;;;;;;;
;771;"Topicos de Calculo de Probabilidades 
Parte: IV ";Moises Lazaro C;QA303.L32  V.4;2009;;;;;;;;;;;;;;;;;;;;;
;772;"Topicos de Calculo de Probabilidades 
Parte: I ";Moises Lazaro C;QA303.L32 V,1;2007;;;;;;;;;;;;;;;;;;;;;
;773;"Topicos de Calculo de Probabilidades 
Parte: I ";Moises Lazaro C;QA303.L32 V.1 ej. 2;2007;;;;;;;;;;;;;;;;;;;;;
;774;"Topicos de Calculo de Probabilidades 
Parte: I ";Moises Lazaro C;QA303.L32 V.1 ej. 3;2007;;;;;;;;;;;;;;;;;;;;;
;775;"Topicos de Calculo de Probabilidades 
Parte II ";Moises Lazaro C;QA303.L32 V.2 ej. 2;2009;;;;;;;;;;;;;;;;;;;;;
;776;"Topicos de Calculo de Probabilidades 
Parte II ";Moises Lazaro C;QA303.L32 V.2 ej. 3;2009;;;;;;;;;;;;;;;;;;;;;
;777;"Topicos de Calculo de Probabilidades 
Parte: III ";Moises Lazaro C;QA303.L32 V.3;2007;;;;;;;;;;;;;;;;;;;;;
;778;"Topicos de Calculo de Probabilidades 
Parte: III ";Moises Lazaro C;QA303.L32 V.3 ej. 2;2007;;;;;;;;;;;;;;;;;;;;;
;779;"Topicos de Calculo de Probabilidades 
Parte: III ";Moises Lazaro C;QA303.L32 V.3 ej. 3;2007;;;;;;;;;;;;;;;;;;;;;
;780;Calculo integral y sus aplicaciones;Moises Lazaro C;QA303.L32C;2014;;;;;;;;;;;;;;;;;;;;;
;781;Calculo integral y sus aplicaciones;Moises Lazaro C;QA303.L32C ej. 2;2014;;;;;;;;;;;;;;;;;;;;;
;782;Calculo integral y sus aplicaciones;Moises Lazaro C;QA303.L32C ej. 3;2014;;;;;;;;;;;;;;;;;;;;;
;783;Calculo integral y sus aplicaciones;Moises Lazaro C;QA303.L32C ej. 4;2014;;;;;;;;;;;;;;;;;;;;;
;784;Calculo diferencial;Moises Lazaro C;QA303.L32D;2014;CAMBIAR CLASIFICACION;;;;;;;;;;;;;;;;;;;;
;785;Calculo diferencial;Moises Lazaro C;QA303.L32D ej. 2;2014;CAMBIAR CLASIFICACION;;;;;;;;;;;;;;;;;;;;
;786;Calculo diferencial;Moises Lazaro C;QA303.L32D ej. 3;2014;CAMBIAR CLASIFICACION;;;;;;;;;;;;;;;;;;;;
;787;Calculo integral;Francisco Guillermo Mejia Duque;QA303.M39;2011;;;;;;;;;;;;;;;;;;;;;
;788;Calculo integral;Francisco Guillermo Mejia Duque;QA303.M39 ej. 2;2011;;;;;;;;;;;;;;;;;;;;;
;789;Calculo integral;Francisco Guillermo Mejia Duque;QA303.M39 ej. 3;2011;;;;;;;;;;;;;;;;;;;;;
;790;Calculo integral;Francisco Guillermo Mejia Duque;QA303.M39 ej. 4;2011;;;;;;;;;;;;;;;;;;;;;
;791;Calculo integral;Francisco Guillermo Mejia Duque;QA303.M39 ej. 5;2011;;;;;;;;;;;;;;;;;;;;;
;792;Topicos de Calculo Volumen.1;Maximo Mitacc Meza, Luis Toro Mota;QA303.M66  v.1 ;2009;;;;;;;;;;;;;;;;;;;;;
;793;Topicos de Calculo Volumen.1;Maximo Mitacc Meza, Luis Toro Mota;QA303.M66  v.1  ej. 2;2009;;;;;;;;;;;;;;;;;;;;;
;794;Topicos de Calculo Volumen.1;Maximo Mitacc Meza, Luis Toro Mota;QA303.M66  v.1  ej. 3;2009;;;;;;;;;;;;;;;;;;;;;
;795;Topicos de Calculo Volumen.1;Maximo Mitacc Meza, Luis Toro Mota;QA303.M66  v.1  ej. 4;2009;;;;;;;;;;;;;;;;;;;;;
;796;Topicos de Calculo Volumen.1;Maximo Mitacc Meza, Luis Toro Mota;QA303.M66  v.1  ej. 5;2009;;;;;;;;;;;;;;;;;;;;;
;797;Topicos de Calculo Volumen.1;Maximo Mitacc Meza, Luis Toro Mota;QA303.M66  v.1  ej. 6;2009;;;;;;;;;;;;;;;;;;;;;
;798;Topicos de Calculo Volumen.2;Maximo Mitacc Meza, Luis Toro Mota;QA303.M66  v.2;2009;;;;;;;;;;;;;;;;;;;;;
;799;Topicos de Calculo Volumen.2;Maximo Mitacc Meza, Luis Toro Mota;QA303.M66  v.2 ej. 2;2009;;;;;;;;;;;;;;;;;;;;;
;800;Topicos de Calculo Volumen.2;Maximo Mitacc Meza, Luis Toro Mota;QA303.M66  v.2 ej. 3;2009;;;;;;;;;;;;;;;;;;;;;
;801;Topicos de Calculo Volumen.2;Maximo Mitacc Meza, Luis Toro Mota;QA303.M66  v.2 ej. 4;2009;;;;;;;;;;;;;;;;;;;;;
;802;Topicos de Calculo Volumen.2;Maximo Mitacc Meza, Luis Toro Mota;QA303.M66  v.2 ej. 5;2009;;;;;;;;;;;;;;;;;;;;;
;803;Topicos de Calculo Volumen.2;Maximo Mitacc Meza, Luis Toro Mota;QA303.M66  v.2 ej. 6;2009;;;;;;;;;;;;;;;;;;;;;
;804;CALCULO III ;Maximo Mitacc Meza, Luis Toro Mota;QA303.M66  v.3;2011;;;;;;;;;;;;;;;;;;;;;
;805;Modelos Funcionales y Aplicaciones Diferenciales;Epifanio Puma Huañec, Isabel Corbacho Carpio;QA303.P96;2013;;;;;;;;;;;;;;;;;;;;;
;806;Modelos Funcionales y Aplicaciones Diferenciales;Epifanio Puma Huañec;QA303.P96 ej. 2;2013;;;;;;;;;;;;;;;;;;;;;
;807;Modelos Funcionales y Aplicaciones Diferenciales;Epifanio Puma Huañec;QA303.P96 ej. 3;2013;;;;;;;;;;;;;;;;;;;;;
;808;Calculo;Edwin J. Purcell;QA303.P98;2007;;;;;;;;;;;;;;;;;;;;;
;809;Calculo;Edwin J. Purcell;QA303.P98 ej. 2;2007;;;;;;;;;;;;;;;;;;;;;
;810;Calculo;Edwin J. Purcell;QA303.P98 ej. 3;2007;;;;;;;;;;;;;;;;;;;;;
;811;Calculo;Edwin J. Purcell;QA303.P98 ej. 4;2007;;;;;;;;;;;;;;;;;;;;;
;812;Calculo;Edwin J. Purcell;QA303.P98 ej. 5;2007;;;;;;;;;;;;;;;;;;;;;
;813;Calculo II;Mariano Soler Dorda;QA303.S66;2015;;;;;;;;;;;;;;;;;;;;;
;814;Calculo II;Mariano Soler Dorda;QA303.S66 ej. 2;2015;;;;;;;;;;;;;;;;;;;;;
;815;Calculo II;Mariano Soler Dorda;QA303.S66 ej. 3;2015;;;;;;;;;;;;;;;;;;;;;
;816;Calculo II;Mariano Soler Dorda;QA303.S66 ej. 4;2015;;;;;;;;;;;;;;;;;;;;;
;817;Calculo II;Mariano Soler Dorda;QA303.S66 ej. 5;2015;;;;;;;;;;;;;;;;;;;;;
;818;CALCULO de una Variable Trascendentes Tempranas;James Stewart;QA303.S79;2008;;;;;;;;;;;;;;;;;;;;;
;819;Problemas resueltos de calculo en una variable;Venancio Tomeo Perucha;QA303.T69;2005;;;;;;;;;;;;;;;;;;;;;
;820;Problemas resueltos de calculo en una variable;Venancio Tomeo Perucha;QA303.T69 ej. 2;2005;;;;;;;;;;;;;;;;;;;;;
;821;Problemas resueltos de calculo en una variable;Venancio Tomeo Perucha;QA303.T69 ej. 3;2005;;;;;;;;;;;;;;;;;;;;;
;822;Analisis Matematico IV Calculo Vectorial;Moises Lazaro C;QA304.L32;2017;;;;;;;;;;;;;;;;;;;;;
;823;Analisis Matematico IV Calculo Vectorial;Moises Lazaro C;QA304.L32 ej. 2;2017;;;;;;;;;;;;;;;;;;;;;
;824;Analisis Matematico IV Calculo Vectorial;Moises Lazaro C;QA304.L32 ej. 3;2017;;;;;;;;;;;;;;;;;;;;;
;825;Calculo Integral Matematicas 2;Ron Larson;QA308.L25;2009;;;;;;;;;;;;;;;;;;;;;
;826;Analisis Matematico 2, 2da Edicion;J. Armando Venero B;QA308.V45;2006;;;;;;;;;;;;;;;;;;;;;
;827;Analisis Matematico 2, 2da Edicion;J. Armando Venero B;QA308.V45 ;2003;;;;;;;;;;;;;;;;;;;;;
;828;Analisis Matematico 2, 2da Edicion;J. Armando Venero B;QA308.V45 ej. 2;2006;;;;;;;;;;;;;;;;;;;;;
;829;Matematica Basica 1;R. Figueroa G;QA37.3.F51;2009;;;;;;;;;;;;;;;;;;;;;
;830;Matematica Basica 1;R. Figueroa G;QA37.3.F51 ej. 2;2009;;;;;;;;;;;;;;;;;;;;;
;831;Matematica Basica 1;R. Figueroa G;QA37.3.F51 ej. 3;2009;;;;;;;;;;;;;;;;;;;;;
;832;Razonamiento Inductivo - Deductivo;Adolfo Povis Vega;QA37.R29;2014;;;;;;;;;;;;;;;;;;;;;
;833;Razonamiento Inductivo - Deductivo;Adolfo Povis Vega;QA37.R29 ej. 2;2014;;;;;;;;;;;;;;;;;;;;;
;834;Razonamiento Inductivo - Deductivo;Adolfo Povis Vega;QA37.R29 ej. 3;2014;;;;;;;;;;;;;;;;;;;;;
;835;Ecuaciones diferenciales;Richard Bronson;QA371.32.B84;2008;;;;;;;;;;;;;;;;;;;;;
;836;Ecuaciones diferenciales;Richard Bronson;QA371.32.B84 ej. 2;2008;;;;;;;;;;;;;;;;;;;;;
;837;Ecuaciones diferenciales;Richard Bronson;QA371.32.B84 ej. 3;2008;;;;;;;;;;;;;;;;;;;;;
;838;Ecuaciones diferenciales;Richard Bronson;QA371.32.B84 ej. 4;2008;;;;;;;;;;;;;;;;;;;;;
;839;Ecuaciones diferenciales;Richard Bronson;QA371.32.B84 ej. 5;2008;;;;;;;;;;;;;;;;;;;;;
;840;Ecuaciones diferenciales;Richard Bronson;QA371.32.B84 ej. 6;2008;;;;;;;;;;;;;;;;;;;;;
;841;Ecuaciones diferenciales;Richard Bronson;QA371.32.B84 ej. 7;2008;;;;;;;;;;;;;;;;;;;;;
;842;"Ecuaciones Diferenciales Teoría,Aplicaciones 
y Problemas resueltos para Ciencias e Ingenierías";Hugo E. Lázaro Manrique;QA371.72.L32;2015;;;;;;;;;;;;;;;;;;;;;
;843;"Ecuaciones Diferenciales Teoría,Aplicaciones 
y Problemas resueltos para Ciencias e Ingenierías";Hugo E. Lázaro Manrique;QA371.72.L32 ej. 2;2015;;;;;;;;;;;;;;;;;;;;;
;844;"Ecuaciones Diferenciales Teoría,Aplicaciones 
y Problemas resueltos para Ciencias e Ingenierías";Hugo E. Lázaro Manrique;QA371.72.L32 ej. 3;2015;;;;;;;;;;;;;;;;;;;;;
;845;"Ecuaciones Diferenciales Teoría,Aplicaciones 
y Problemas resueltos para Ciencias e Ingenierías";Hugo E. Lázaro Manrique;QA371.72.L32 ej. 4;2015;;;;;;;;;;;;;;;;;;;;;
;846;"Ecuaciones Diferenciales Teoría,Aplicaciones 
y Problemas resueltos para Ciencias e Ingenierías";Hugo E. Lázaro Manrique;QA371.72.L32 ej. 5;2015;;;;;;;;;;;;;;;;;;;;;
;847;Ecuacuciones diferenciales;William E. Boyce;QA371.B56;2010;;;;;;;;;;;;;;;;;;;;;
;848;Ecuacuciones diferenciales;William E. Boyce;QA371.B56 ej. 2;2010;;;;;;;;;;;;;;;;;;;;;
;849;Ecuacuciones diferenciales;Shepley L. Ross;QA371.R84;2002;;;;;;;;;;;;;;;;;;;;;
;850;Ecuaciones diferenciales Teoria, tecnica y practica;George F. Simmons;QA371.S56;2007;;;;;;;;;;;;;;;;;;;;;
;851;Ecuaciones diferenciales Teoria, tecnica y practica;George F. Simmons;QA371.S56 ej. 10;2007;;;;;;;;;;;;;;;;;;;;;
;852;Ecuaciones diferenciales Teoria, tecnica y practica;George F. Simmons;QA371.S56 ej. 2;2007;;;;;;;;;;;;;;;;;;;;;
;853;Ecuaciones diferenciales Teoria, tecnica y practica;George F. Simmons;QA371.S56 ej. 3;2007;;;;;;;;;;;;;;;;;;;;;
;854;Ecuaciones diferenciales Teoria, tecnica y practica;George F. Simmons;QA371.S56 ej. 4;2007;;;;;;;;;;;;;;;;;;;;;
;855;Ecuaciones diferenciales Teoria, tecnica y practica;George F. Simmons;QA371.S56 ej. 5;2007;;;;;;;;;;;;;;;;;;;;;
;856;Ecuaciones diferenciales Teoria, tecnica y practica;George F. Simmons;QA371.S56 ej. 6;2007;;;;;;;;;;;;;;;;;;;;;
;857;Ecuaciones diferenciales Teoria, tecnica y practica;George F. Simmons;QA371.S56 ej. 7;2007;;;;;;;;;;;;;;;;;;;;;
;858;Ecuaciones diferenciales Teoria, tecnica y practica;George F. Simmons;QA371.S56 ej. 8;2007;;;;;;;;;;;;;;;;;;;;;
;859;Ecuaciones diferenciales Teoria, tecnica y practica;George F. Simmons;QA371.S56 ej. 9;2007;;;;;;;;;;;;;;;;;;;;;
;860;Ecuaciones Diferenciales Con problemas con valores en la frontera;Dennis G. Zill;QA371.Z88;2015;;;;;;;;;;;;;;;;;;;;;
;861;Ecuaciones Diferenciales Con problemas con valores en la frontera;Dennis G. Zill;QA371.Z88 ej. 2;2015;;;;;;;;;;;;;;;;;;;;;
;862;Ecuaciones Diferenciales Con problemas con valores en la frontera;Dennis G. Zill;QA371.Z88 ej. 3;2015;;;;;;;;;;;;;;;;;;;;;
;863;Ecuaciones Diferenciales Con problemas con valores en la frontera;Dennis G. Zill;QA371.Z88 ej. 4;2015;;;;;;;;;;;;;;;;;;;;;
;864;"Ecuaciones diferenciales y aplicaciones 
Para estudiantes de ciencias e ingenieria";Eduardo Espinoza Ramos;QA372.E88 ;2004;;;;;;;;;;;;;;;;;;;;;
;865;"Ecuaciones diferenciales y aplicaciones 
Para estudiantes de ciencias e ingenieria";Eduardo Espinoza Ramos;QA372.E88 ej. 2;2004;;;;;;;;;;;;;;;;;;;;;
;866;"Ecuaciones diferenciales y aplicaciones 
Para estudiantes de ciencias e ingenieria";Eduardo Espinoza Ramos;QA372.E88 ej. 3;2004;;;;;;;;;;;;;;;;;;;;;
;867;"Ecuaciones diferenciales y aplicaciones 
Para estudiantes de ciencias e ingenieria";Eduardo Espinoza Ramos;QA372.E88 ej. 4;2004;;;;;;;;;;;;;;;;;;;;;
;868;"Ecuaciones diferenciales y aplicaciones 
Para estudiantes de ciencias e ingenieria";Eduardo Espinoza Ramos;QA372.E88 ej. 5;2004;;;;;;;;;;;;;;;;;;;;;
;869;"Ecuaciones diferenciales y aplicaciones 
Para estudiantes de ciencias e ingenieria";Eduardo Espinoza Ramos;QA372.E88 ej. 6;2004;;;;;;;;;;;;;;;;;;;;;
;870;"Ecuaciones diferenciales y aplicaciones 
Para estudiantes de ciencias e ingenieria";Eduardo Espinoza Ramos;QA372.E88 ej. 7;2004;;;;;;;;;;;;;;;;;;;;;
;871;Analisis Matematico IV Para estudiantes de Ciencias e Ingenierias;Eduardo Espinoza Ramos;QA372.E88A;2010;;;;;;;;;;;;;;;;;;;;;
;872;Analisis Matematico IV Para estudiantes de Ciencias e Ingenierias;Eduardo Espinoza Ramos;QA372.E88A;2012;;;;;;;;;;;;;;;;;;;;;
;873;Analisis Matematico IV Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA372.E88A ;2002;;;;;;;;;;;;;;;;;;;;;
;874;Analisis Matematico IV Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA372.E88A ;2008;;;;;;;;;;;;;;;;;;;;;
;875;Analisis Matematico IV Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA372.E88A ej. 2;2002;;;;;;;;;;;;;;;;;;;;;
;876;Analisis Matematico IV Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA372.E88A ej. 2;2008;;;;;;;;;;;;;;;;;;;;;
;877;Analisis Matematico IV Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA372.E88A ej. 3;2002;;;;;;;;;;;;;;;;;;;;;
;878;Ecuaciones Diferenciales;Carlos Vera G;QA372.L32;2010;;;;;;;;;;;;;;;;;;;;;
;879;Ecuaciones Diferenciales;Carlos Vera G;QA372.L32 ej. 2;2010;;;;;;;;;;;;;;;;;;;;;
;880;Ecuaciones Diferenciales;Carlos Vera G;QA372.L32 ej. 3;2010;;;;;;;;;;;;;;;;;;;;;
;881;Problemas Resueltos de Ecuaciones Diferenciales;Manuel Lopez Rodriguez;QA372.L83;2007;;;;;;;;;;;;;;;;;;;;;
;882;Problemas Resueltos de Ecuaciones Diferenciales;Manuel Lopez Rodriguez;QA372.L83 ej. 2;2007;;;;;;;;;;;;;;;;;;;;;
;883;Problemas Resueltos de Ecuaciones Diferenciales;Manuel Lopez Rodriguez;QA372.L83 ej. 3;2007;;;;;;;;;;;;;;;;;;;;;
;884;Problemas Resueltos de Ecuaciones Diferenciales;Manuel Lopez Rodriguez;QA372.L83 ej. 4;2007;;;;;;;;;;;;;;;;;;;;;
;885;Problemas Resueltos de Ecuaciones Diferenciales;Manuel Lopez Rodriguez;QA372.L83 ej. 5;2007;;;;;;;;;;;;;;;;;;;;;
;886;Problemas Resueltos de Ecuaciones Diferenciales;Manuel Lopez Rodriguez;QA372.L83 ej. 6;2007;;;;;;;;;;;;;;;;;;;;;
;887;"Algebra lineal y calculo para estudiantes 
de química (con problemas resueltos)";Jesus Medina Moreno;QA372.M36;2015;;;;;;;;;;;;;;;;;;;;;
;888;"Algebra lineal y calculo para estudiantes 
de química (con problemas resueltos)";Jesus Medina Moreno;QA372.M36 ej. 2;2015;;;;;;;;;;;;;;;;;;;;;
;889;"Algebra lineal y calculo para estudiantes 
de química (con problemas resueltos)";Jesus Medina Moreno;QA372.M36 ej. 3;2015;;;;;;;;;;;;;;;;;;;;;
;890;"Algebra lineal y calculo para estudiantes 
de química (con problemas resueltos)";Jesus Medina Moreno;QA372.M36 ej. 4;2015;;;;;;;;;;;;;;;;;;;;;
;891;"Algebra lineal y calculo para estudiantes 
de química (con problemas resueltos)";Jesus Medina Moreno;QA372.M36 ej. 5;2015;;;;;;;;;;;;;;;;;;;;;
;892;"Ecuaciones diferenciales 1 Teori y problemas resueltos 
para estudiantes de la UNI, U. de Lima, Catolica, Unife, R. Palma";Cesar Saal R;QA372.S11;2016;;;;;;;;;;;;;;;;;;;;;
;893;"Ecuaciones diferenciales 1 Teori y problemas resueltos 
para estudiantes de la UNI, U. de Lima, Catolica, Unife, R. Palma";Cesar Saal R;QA372.S11 ej. 2;2016;;;;;;;;;;;;;;;;;;;;;
;894;"Ecuaciones diferenciales 1 Teori y problemas resueltos 
para estudiantes de la UNI, U. de Lima, Catolica, Unife, R. Palma";Cesar Saal R;QA372.S11 ej. 3;2016;;;;;;;;;;;;;;;;;;;;;
;895;"Ecuaciones diferenciales 1 Teori y problemas resueltos 
para estudiantes de la UNI, U. de Lima, Catolica, Unife, R. Palma";Cesar Saal R;QA372.S11 ej. 4;2016;;;;;;;;;;;;;;;;;;;;;
;896;"Ecuaciones diferenciales 1 Teori y problemas resueltos 
para estudiantes de la UNI, U. de Lima, Catolica, Unife, R. Palma";Cesar Saal R;QA372.S11 ej. 5;2016;;;;;;;;;;;;;;;;;;;;;
;897;Ecuaciones Diferenciales Con aplicaciones de modelado;Dennis G. Zill;QA372.Z88;2009;;;;;;;;;;;;;;;;;;;;;
;898;Ecuaciones diferenciales can aplicaciones de modelado;Dennis G. Zill;QA372.Z88;2015;;;;;;;;;;;;;;;;;;;;;
;899;Ecuaciones diferenciales can aplicaciones de modelado;Dennis G. Zill;QA372.Z88 ej. 2;2015;;;;;;;;;;;;;;;;;;;;;
;900;Ecuaciones diferenciales can aplicaciones de modelado;Dennis G. Zill;QA372.Z88 ej. 3;2015;;;;;;;;;;;;;;;;;;;;;
;901;Ecuaciones diferenciales can aplicaciones de modelado;Dennis G. Zill;QA372.Z88 ej. 4;2015;;;;;;;;;;;;;;;;;;;;;
;902;Ecuaciones diferenciales can aplicaciones de modelado;Dennis G. Zill;QA372.Z88 ej. 5;2015;;;;;;;;;;;;;;;;;;;;;
;903;Ecuaciones diferenciales can aplicaciones de modelado;Dennis G. Zill;QA372.Z88 ej. 6;2015;;;;;;;;;;;;;;;;;;;;;
;904;Matematicas discretas con aplicaciones;Susanna S. Epp;QA39.2.E68;2012;;;;;;;;;;;;;;;;;;;;;
;905;Matematicas discretas con aplicaciones;Susanna S. Epp;QA39.2.E68 ej. 2;2012;;;;;;;;;;;;;;;;;;;;;
;906;Matematicas discretas con aplicaciones;Susanna S. Epp;QA39.2.E68 ej. 3;2012;;;;;;;;;;;;;;;;;;;;;
;907;Matematicas discretas con aplicaciones;Susanna S. Epp;QA39.2.E68 ej. 4;2012;;;;;;;;;;;;;;;;;;;;;
;908;Matematicas discretas con aplicaciones;Susanna S. Epp;QA39.2.E68 ej. 5;2012;;;;;;;;;;;;;;;;;;;;;
;909;Matematicas discretas con aplicaciones;Susanna S. Epp;QA39.2.E68 ej. 6;2012;;;;;;;;;;;;;;;;;;;;;
;910;Matematicas discretas;Ramon Espinosa Armenta;QA39.2.E87;2010;;;;;;;;;;;;;;;;;;;;;
;911;Matematicas Discretas;Richard Johnsonbaugh;QA39.2.J67;2005;;;;;;;;;;;;;;;;;;;;;
;912;Matematicas Discretas;Richard Johnsonbaugh;QA39.2.J67 ej. 2;2005;;;;;;;;;;;;;;;;;;;;;
;913;Matematicas para la computacion;Jose A. Jimenez Murillo;QA39.2.J87;2009;;;;;;;;;;;;;;;;;;;;;
;914;Matematicas para la computacion;Jose A. Jimenez Murillo;QA39.2.J87 ej. 2;2009;;;;;;;;;;;;;;;;;;;;;
;915;Matematicas discretas (Schaum);Seymour Lipschutz, Ph. D., Marc Lars Lipson, Ph. D.;QA39.2.L66;2009;CAMBIAR CLASIFICACION;;;;;;;;;;;;;;;;;;;;
;916;Matematicas discretas (Schaum);Seymour Lipschutz, Ph. D., Marc Lars Lipson, Ph. D.;QA39.2.L66 ej. 2;2009;;;;;;;;;;;;;;;;;;;;;
;917;Matematicas discretas (Schaum);Seymour Lipschutz, Ph. D., Marc Lars Lipson, Ph. D.;QA39.2.L66 ej. 3;2009;;;;;;;;;;;;;;;;;;;;;
;918;Matematicas Discretas Con teoria de graficas y combinatorias;T. Veerarajan;QA39.2.V47;2008;;;;;;;;;;;;;;;;;;;;;
;919;Matematicas Discretas Con teoria de graficas y combinatorias;T. Veerarajan;QA39.2.V47 ej. 2;2008;;;;;;;;;;;;;;;;;;;;;
;920;Matematicas Discretas Con teoria de graficas y combinatorias;T. Veerarajan;QA39.2.V47 ej. 3;2008;;;;;;;;;;;;;;;;;;;;;
;921;Matematicas Discretas Con teoria de graficas y combinatorias;T. Veerarajan;QA39.2.V47 ej. 4;2008;;;;;;;;;;;;;;;;;;;;;
;922;Matematicas Discretas Con teoria de graficas y combinatorias;T. Veerarajan;QA39.2.V47 ej. 5;2008;;;;;;;;;;;;;;;;;;;;;
;923;Matematicas Discretas Con teoria de graficas y combinatorias;T. Veerarajan;QA39.2.V47 ej. 6;2008;;;;;;;;;;;;;;;;;;;;;
;924;Matematicas Discretas Con teoria de graficas y combinatorias;T. Veerarajan;QA39.2.V47 ej. 7;2008;;;;;;;;;;;;;;;;;;;;;
;925;Matematicas Discretas Con teoria de graficas y combinatorias;T. Veerarajan;QA39.2.V47 ej. 8;2008;;;;;;;;;;;;;;;;;;;;;
;926;Matematica Basica 1;R. Figueroa G;QA39.3.F52;2016;;;;;;;;;;;;;;;;;;;;;
;927;Matematica Basica 1;R. Figueroa G;QA39.3.F52 ;2012;;;;;;;;;;;;;;;;;;;;;
;928;Matematica Basica 2;R. Figueroa G;QA39.3.F52 ej. 2;2012;;;;;;;;;;;;;;;;;;;;;
;929;Matematica Basica 1;R. Figueroa G;QA39.3.F52 ej. 2;2016;;;;;;;;;;;;;;;;;;;;;
;930;Matematica Basica 1;R. Figueroa G;QA39.3.F52 ej. 3;2016;;;;;;;;;;;;;;;;;;;;;
;931;Matematica Basica 1;R. Figueroa G;QA39.3.F52 ej. 4;2016;;;;;;;;;;;;;;;;;;;;;
;932;Matematica Basica 1;R. Figueroa G;QA39.3.F52 ej. 5;2016;;;;;;;;;;;;;;;;;;;;;
;933;Matemática Básica;J. Armando Venero B;QA39.3.V45;2008;;;;;;;;;;;;;;;;;;;;;
;934;Matemática Básica;J. Armando Venero B;QA39.3.V45 ej. 2;2008;;;;;;;;;;;;;;;;;;;;;
;935;Matemática Básica;J. Armando Venero B;QA39.3.V45 ej. 3;2008;;;;;;;;;;;;;;;;;;;;;
;936;Matemática Básica;J. Armando Venero B;QA39.3.V45 ej. 4;2008;;;;;;;;;;;;;;;;;;;;;
;937;Matemática Básica;J. Armando Venero B;QA39.3.V45 ej. 5;2008;;;;;;;;;;;;;;;;;;;;;
;938;Matemática Básica;J. Armando Venero B;QA39.3.V45 ej. 6;2008;;;;;;;;;;;;;;;;;;;;;
;939;Matemática Básica;J. Armando Venero B;QA39.3.V45 ej. 7;2008;;;;;;;;;;;;;;;;;;;;;
;940;Matemática Básica;J. Armando Venero B;QA39.3.V45 ej. 8;2008;;;;;;;;;;;;;;;;;;;;;
;941;Matematica Basica Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA39.E88;2012;;;;;;;;;;;;;;;;;;;;;
;942;Matematica Basica Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA39.E88 ej. 2;2012;;;;;;;;;;;;;;;;;;;;;
;943;Matematica Basica Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA39.E88 ej. 3;2012;;;;;;;;;;;;;;;;;;;;;
;944;Matematica Basica Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA39.E88 ej. 4;2012;;;;;;;;;;;;;;;;;;;;;
;945;Matematica Basica Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA39.E88 ej. 5;2012;;;;;;;;;;;;;;;;;;;;;
;946;Matematica Basica Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA39.E88 ej. 6;2012;;;;;;;;;;;;;;;;;;;;;
;947;Matematica Basica Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA39.E88 ej. 7;2012;;;;;;;;;;;;;;;;;;;;;
;948;Matemática Básica Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA39.E88 ej. 8;2012;;;;;;;;;;;;;;;;;;;;;
;949;Formulario de Matematica Todas las formulas y sus aplicaciones;Wilfredo Florentino La Torre;QA39.F64;2011;;;;;;;;;;;;;;;;;;;;;
;950;Formulario de Matematica Todas las formulas y sus aplicaciones;Wilfredo Florentino La Torre;QA39.F64 ej. 2;2011;;;;;;;;;;;;;;;;;;;;;
;951;Formulario de Matematica Todas las formulas y sus aplicaciones;Wilfredo Florentino La Torre;QA39.F64 ej. 3;2011;;;;;;;;;;;;;;;;;;;;;
;952;Matematica Basica;Victor Cardenas;QA39.V28;2014;;;;;;;;;;;;;;;;;;;;;
;953;Matematica Basica;Carlos Vera G;QA39.V47;2015;;;;;;;;;;;;;;;;;;;;;
;954;Matemática Básica;Carlos Vera G;QA39.V47 ej. 2;2015;;;;;;;;;;;;;;;;;;;;;
;955;Matemática Básica;Carlos Vera G;QA39.V47 ej. 3;2015;;;;;;;;;;;;;;;;;;;;;
;956;Matemática Básica;Carlos Vera G;QA39.V47 ej. 4;2015;;;;;;;;;;;;;;;;;;;;;
;957;Matemática Básica;Carlos Vera G;QA39.V47 ej. 5;2015;;;;;;;;;;;;;;;;;;;;;
